Dim,Blocks,Threads,Execution_Time,Speedup
2048,1,256,3.128153,1.001697
2048,2,256,1.531820,2.045582
2048,4,256,0.821973,3.812124
2048,8,256,0.378123,8.286888
2048,12,256,0.253704,12.350862
2048,16,256,0.202153,15.500453
